dataset,feature,count,mean,median,std,variance,min,25%,50%,75%,max
historical,danceability,2400.0,0.6617675,0.673,0.14033476955799137,0.01969384754689454,0.162,0.57375,0.673,0.76,0.975
historical,energy,2400.0,0.688705,0.706,0.16534526945925979,0.02733905813255523,0.0519,0.585,0.706,0.814,0.999
historical,loudness,2400.0,-5.811734583333333,-5.5265,2.086712100941914,4.354367392217417,-21.107,-6.846,-5.5265,-4.38175,-0.276
historical,speechiness,2400.0,0.09799475,0.0568,0.09327609474855982,0.008700429851542308,0.0225,0.0379,0.0568,0.115,0.576
historical,acousticness,2400.0,0.16483843933333334,0.0736,0.2106299546063578,0.044364977777476354,1.29e-05,0.018075,0.0736,0.233,0.978
historical,instrumentalness,2400.0,0.013442161579166667,0.0,0.08236405875662434,0.0067838381748646665,0.0,0.0,0.0,5.6775e-05,0.985
historical,liveness,2400.0,0.17497829166666667,0.1205,0.1341526496700825,0.017996933413503887,0.021,0.090475,0.1205,0.225,0.979
historical,valence,2400.0,0.5360228750000001,0.544,0.22899486255266915,0.05243864707551584,0.0377,0.35975,0.544,0.726,0.974
historical,tempo,2400.0,120.45636333333333,120.0,27.64020322841713,763.9808345082006,60.019,98.0615,120.0,137.6445,210.857
historical,duration_min,2400.0,3.7449263958333336,3.682558333333333,0.6942156499668064,0.4819353686588354,1.6232166666666668,3.3175083333333335,3.682558333333333,4.091116666666666,10.217116666666668
historical,popularity,2400.0,70.27708333333334,72.0,12.958244732117317,167.91610653744618,0.0,65.0,72.0,78.0,96.0
genre,danceability,113550.0,0.5670307151034787,0.58,0.17340845184391565,0.03007049117090361,0.0,0.456,0.58,0.695,0.985
genre,energy,113550.0,0.6420903408295905,0.685,0.25105223826902495,0.06302722633988728,0.0,0.473,0.685,0.854,1.0
genre,loudness,113550.0,-8.243418705416117,-6.997,5.011400798745099,25.114137965663016,-49.531,-9.99775,-6.997,-5.001,4.532
genre,speechiness,113550.0,0.08467418758256276,0.0489,0.10576131523677734,0.011185455800612991,0.0,0.0359,0.0489,0.0845,0.965
genre,acousticness,113550.0,0.3140669920582122,0.168,0.3319067949662185,0.11016212054474739,0.0,0.0168,0.168,0.596,0.996
genre,instrumentalness,113550.0,0.15570162681312197,4.11e-05,0.309215982539165,0.09561452385766119,0.0,0.0,4.11e-05,0.048674999999999996,1.0
genre,liveness,113550.0,0.21361146287978866,0.132,0.19046143519884184,0.036275558298002636,0.0,0.098,0.132,0.273,1.0
genre,valence,113550.0,0.4742074930074856,0.464,0.2592035708937174,0.06718649116405441,0.0,0.26,0.464,0.683,0.995
genre,tempo,113550.0,122.17588750330252,122.02,29.972860959197618,898.3723940793927,0.0,99.29650000000001,122.02,140.07375000000002,243.372
genre,duration_min,113550.0,3.801322703361221,3.55,1.7735797092284908,3.145584984987018,0.0,2.9030041666666664,3.55,4.359795833333333,87.28825
genre,popularity,113550.0,33.32413914575077,35.0,22.28397609446146,496.57559057852995,0.0,17.0,35.0,50.0,100.0
country,danceability,2110316.0,0.6759191122561738,0.7,0.14404686357236043,0.020749498905034216,0.0,0.58,0.7,0.78,0.988
country,energy,2110316.0,0.6488031086158186,0.668,0.16891424478703657,0.028532022091974907,2.01e-05,0.552,0.668,0.767,0.998
country,loudness,2110316.0,-6.77243852911128,-6.064,3.8748487876732116,15.014453127332558,-54.341,-7.83,-6.064,-4.723,3.233
country,speechiness,2110316.0,0.09550407555077058,0.0581,0.09138830010060711,0.008351821395278625,0.0,0.0384,0.0581,0.112,0.957
country,acousticness,2110316.0,0.27484907467045216,0.191,0.25092972909025324,0.06296572894130789,3.45e-06,0.0667,0.191,0.437,0.996
country,instrumentalness,2110316.0,0.023161851929061807,1.34e-06,0.11372968236904527,0.012934440651763924,0.0,0.0,1.34e-06,0.000101,0.995
country,liveness,2110316.0,0.1705587743257408,0.122,0.12475278565419848,0.01556325752848239,0.0139,0.0961,0.122,0.204,0.983
country,valence,2110316.0,0.546253466992621,0.548,0.23115272730888412,0.053431583342335345,0.0,0.37,0.548,0.733,0.992
country,tempo,2110316.0,122.10075241622582,119.965,27.81937550497917,773.9176534870351,0.0,100.019,119.965,140.021,236.089
country,duration_min,2110316.0,3.238492474768392,3.1031833333333334,0.8310090506435311,0.690576042251463,0.0,2.7106166666666667,3.1031833333333334,3.645016666666667,21.6
country,popularity,2110316.0,75.90713428699777,79.0,15.763015379956615,248.4726538687488,0.0,65.0,79.0,88.0,100.0
