k,inertia,silhouette_score
2,937613.1170148215,0.25470645618604326
3,842780.0439446762,0.15473030539147828
4,775514.5141084625,0.15904893284962177
5,711390.2585674578,0.16392194294817977
6,658958.7113041426,0.16241984316532126
7,612365.6786481331,0.16721408790816927
8,581168.8620645824,0.17084716917203543
9,555215.6924206512,0.15708900420202732
10,534846.2133466576,0.15230594870300945
