track_genre,track_count,unique_tracks,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo,mean_popularity,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
acoustic,1000,1000,0.549593,0.43536810000000004,-9.447843,0.043247,0.56681639833,0.03833581843,0.1532444,0.42402300000000004,119.01062399999999,42.483,20.200000000000003,13.4,15.5,50.9
afrobeat,999,999,0.6694084084084084,0.7029379379379379,-7.789598598598599,0.08662172172172172,0.2708928451451451,0.2528757328928929,0.18472362362362363,0.6984746746746747,119.24205705705705,24.40740740740741,72.77277277277278,8.708708708708707,13.213213213213212,5.305305305305305
alt-rock,999,999,0.5346006006006007,0.7540270270270271,-6.194009009009009,0.05507567567567568,0.12216838767767767,0.05415070087087087,0.21033993993993996,0.5181794794794795,124.65440340340339,33.8968968968969,51.151151151151154,2.4024024024024024,39.73973973973974,6.706706706706707
alternative,999,999,0.559962962962963,0.7198478478478479,-6.0761911911911906,0.07013403403403404,0.1479671897797798,0.037501084184184186,0.20144074074074075,0.49515825825825827,122.20776876876877,24.36136136136136,44.34434434434434,4.504504504504505,40.74074074074074,10.41041041041041
ambient,999,999,0.3679657657657658,0.23725704704704706,-18.596266266266266,0.04155265265265265,0.7767006395395395,0.6759931492492492,0.12929839839839838,0.16734454454454453,111.15641341341342,44.208208208208205,1.8018018018018018,1.5015015015015014,11.11111111111111,85.58558558558559
anime,999,999,0.5375169169169169,0.6737880880880881,-7.938441441441441,0.0872962962962963,0.26797644938938936,0.2632344426326327,0.19731881881881883,0.4346357357357357,123.54965365365366,48.766766766766764,38.63863863863864,2.4024024024024024,34.234234234234236,24.724724724724727
black-metal,997,997,0.29666990972918755,0.8747214643931795,-6.528497492477433,0.08716870611835507,0.027136847833500503,0.44199603665997994,0.24111865596790372,0.19213109327983952,128.5921223671013,22.461384152457374,5.315947843530592,0.10030090270812438,89.56870611835507,5.015045135406218
bluegrass,998,998,0.5347715430861724,0.5302871743486973,-9.917164328657314,0.03868957915831663,0.5566500561122244,0.1370669252805611,0.2265498997995992,0.6348554108216432,126.62065631262524,25.681362725450903,51.503006012024045,19.138276553106213,6.613226452905812,22.74549098196393
blues,998,998,0.5685370741482966,0.5820455911823647,-8.521332665330663,0.06394218436873748,0.3976411275551102,0.034144811192384765,0.19183857715430863,0.6034386773547095,116.63287074148296,31.218436873747496,47.09418837675351,18.7374749498998,17.334669338677354,16.83366733466934
brazil,998,998,0.5631743486973948,0.6207975951903808,-7.60195991983968,0.09587144288577154,0.3321668057114228,0.013105951643286574,0.29779759519038074,0.4697090180360722,121.96297194388778,44.668336673346694,37.77555110220441,5.61122244488978,35.671342685370746,20.941883767535067
