country,track_count,unique_tracks,mean_popularity,mean_daily_rank,mean_valence,mean_energy,mean_danceability,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
HN,29162,577,84.53621150812701,25.495919347095537,0.5946209310061038,0.6803896049653658,0.7253300493793292,62.776901447088676,3.4736986489266855,27.282079418421233,6.4673204855634046
HU,29163,696,66.05596132085176,25.499228474436787,0.5413461715187052,0.6748996330967321,0.7198401741933271,54.2125295751466,4.2451050989267225,33.676233583650514,7.866131742276172
ID,29156,262,79.7372753464124,25.495781314309234,0.37439919742077105,0.5088393469611744,0.5270119357936617,13.794759226231307,7.535327205377968,31.060502126491972,47.60941144189875
IE,28981,832,85.82909492426072,25.500465822435388,0.5109705151651082,0.6191789137710915,0.6098447983161382,45.8300265691315,5.793450881612091,29.888547669162556,18.487974880093855
IL,29116,519,63.03781426020058,25.502575903283418,0.4678042519576865,0.54149707377387,0.6162623643357604,31.6492650089298,13.435911526308558,25.412144525346886,29.502678939414757
IN,28906,445,75.26406282432713,25.497232408496505,0.5222809451324985,0.5801662976544663,0.6244671348508961,40.25807790770082,11.163772227219262,29.896907216494846,18.68124264858507
IS,28922,1229,58.49602378811977,25.49184012170666,0.5181517913698914,0.5011594941566974,0.6805317059677753,35.64760390014522,20.199156351566284,26.263743862803402,17.8894958854851
IT,29174,1141,71.49804620552547,25.49667512168369,0.5018328066086242,0.6855082456982244,0.6694148899705217,46.226091725509015,1.9640776033454446,47.87482004524577,3.9350106258997735
JP,29155,319,71.83268736065855,25.49627851140456,0.6365288286743268,0.7753651860744298,0.610415606242497,76.01440576230493,1.0392728519979422,22.71308523409364,0.23323615160349853
KR,29113,631,75.08147562944389,25.50152852677498,0.5463084326589496,0.6893555593721018,0.6547874489059871,57.13942225122798,1.5834850410469548,26.69941263353141,14.577680074193658
KZ,29161,452,67.23267377661946,25.499811391927576,0.5035484345529988,0.5972440245533418,0.7030825417509687,42.22420355954871,6.2789341929289115,32.588045677445905,18.90881657007647
LT,28973,871,71.55938287371,25.502260725503053,0.5569792530977117,0.6446197839367687,0.6957068995271459,52.06916784592551,8.276671383702068,29.448106858109274,10.20605391226314
LU,28315,1358,82.0663252692919,25.093130849373125,0.5326756906233445,0.6450743358643828,0.6659846512449232,51.802931308493726,4.591206074518806,32.6717287656719,10.934133851315558
LV,28934,1145,78.73681481993502,25.496578419852078,0.5018838529066151,0.6458003145088822,0.6600635584433537,44.152208474459115,6.666897076104237,37.03946913665584,12.141425312780811
MA,28907,613,61.96986888988826,25.496350364963504,0.539711222195316,0.6212030650015566,0.678068114989449,49.714601999515686,6.202649877192376,29.141730376725363,14.941017746566576
MX,29106,495,83.85710849996565,25.498110355253214,0.6737744746787604,0.6914467285095856,0.730464096749811,74.33862433862434,4.96461210746925,15.979523122380265,4.717240431526146
MY,29157,537,82.36663579929348,25.49857667112529,0.4431114140686627,0.5705396920122098,0.5926633055526974,30.400932880611858,2.987275782830881,34.808107830023665,31.80368350653359
NG,29060,756,66.0363041982106,25.49790089470062,0.6206345595320027,0.6779810426703372,0.7217537164487268,67.55333792154164,5.103234686854783,22.243633860977287,5.0997935306262905
NI,29170,596,84.35570791909495,25.497943092218033,0.6048382718546451,0.6691479835447377,0.7236499691463834,62.598560164552616,4.343503599588618,26.266712375728492,6.791223860130271
