actual,pop,rock,hip-hop,jazz,classical,country,edm,acoustic,other
pop,0.25609756097560976,0.0,0.012195121951219513,0.0,0.0,0.036585365853658534,0.0,0.036585365853658534,0.6585365853658537
rock,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.6181818181818182
hip-hop,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.7777777777777778
jazz,0.0,0.0,0.0,0.6444444444444445,0.0,0.0,0.0,0.0,0.35555555555555557
classical,0.0,0.0,0.0,0.0,0.48872180451127817,0.0,0.0,0.0,0.5112781954887218
country,0.0,0.0,0.0,0.0,0.0,0.5375722543352601,0.0,0.04046242774566474,0.42196531791907516
edm,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.9615384615384616
acoustic,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.036585365853658534,0.0,0.18292682926829268,0.7682926829268293
