feature,coefficient
mode,-0.030988908876377178
speechiness,-0.041473633012305625
instrumentalness,-0.05970545933258548
energy,-0.15959437758455597
danceability,0.1745312484837648
acousticness,0.18530626525363364
liveness,0.21651356900813024
tempo,-0.42269984686756695
loudness,0.4747446357321458
time_signature,-0.4774742751631776
key,-0.49462608102697025
duration_ms,-0.7478303342355072
valence,-0.9601554094947017
